ACT,2015,11,	27,2691
ACT,2015,12,	19,2034
ACT,2015,2,	26,3621
ACT,2015,3,	60,5673
ACT,2015,4,	30,3614
ACT,2015,5,	42,6874
ACT,2015,6,	36,6689
ACT,2015,7,	34,4712
ACT,2015,8,	26,4181
ACT,2015,9,	17,1580
ACV,2015,1,	24,4243
ACV,2015,11,	23,1739
ACV,2015,12,	43,4647
ACV,2015,2,	26,3828
ACV,2015,3,	22,2905
ACV,2015,4,	19,1895
ACV,2015,5,	33,3417
ACV,2015,6,	28,3396
ACV,2015,7,	34,3853
ACV,2015,8,	35,4547
ACV,2015,9,	22,1845
ACY,2015,1,	66,7753
ACY,2015,11,	42,5150
ACY,2015,12,	55,6461
ACY,2015,2,	95,11667
ACY,2015,3,	76,6966
ACY,2015,4,	65,5370
ACY,2015,5,	111,15318
ACY,2015,6,	121,18551
ACY,2015,7,	91,11482
ACY,2015,8,	104,15085
ACY,2015,9,	61,5867
ADK,2015,11,	3,77
ADK,2015,12,	1,11
ADK,2015,2,	2,173
ADK,2015,3,	1,238
ADK,2015,5,	2,116
ADK,2015,6,	1,52
ADK,2015,8,	2,118
ADQ,2015,1,	4,343
ADQ,2015,11,	2,156
ADQ,2015,12,	3,153
ADQ,2015,2,	3,138
ADQ,2015,3,	4,180
ADQ,2015,4,	6,279
ADQ,2015,5,	7,321
ADQ,2015,6,	7,489
ADQ,2015,7,	3,157
ADQ,2015,8,	5,768
ADQ,2015,9,	2,92
AEX,2015,1,	54,4156
AEX,2015,11,	49,3887
AEX,2015,12,	53,7115
AEX,2015,2,	50,5304
AEX,2015,3,	64,6826
AEX,2015,4,	68,5946
AEX,2015,5,	61,7355
AEX,2015,6,	81,8351
AEX,2015,7,	73,6844
AEX,2015,8,	43,4704
AEX,2015,9,	38,3490
AGS,2015,1,	38,4119
AGS,2015,11,	37,4159
AGS,2015,12,	38,4844
AGS,2015,2,	44,6045
AGS,2015,3,	40,3551
AGS,2015,4,	43,3191
AGS,2015,5,	40,4664
AGS,2015,6,	51,7418
AGS,2015,7,	36,3503
AGS,2015,8,	38,3274
AGS,2015,9,	30,2295
AKN,2015,6,	7,379
AKN,2015,7,	2,100
AKN,2015,8,	1,47
ALB,2015,1,	123,13708
ALB,2015,11,	94,10468
ALB,2015,12,	148,14011
ALB,2015,2,	123,13762
ALB,2015,3,	159,16449
ALB,2015,4,	121,12422
ALB,2015,5,	117,14478
ALB,2015,6,	179,19984
ALB,2015,7,	187,23411
ALB,2015,8,	163,18456
ALB,2015,9,	108,11058
ALO,2015,1,	20,3320
ALO,2015,11,	8,1433
ALO,2015,12,	7,423
ALO,2015,2,	23,2887
ALO,2015,3,	12,1228
ALO,2015,4,	7,478
ALO,2015,5,	10,1044
ALO,2015,6,	10,1089
ALO,2015,7,	12,1502
ALO,2015,8,	9,1180
ALO,2015,9,	9,1214
AMA,2015,1,	129,12930
AMA,2015,11,	49,4481
AMA,2015,12,	41,2962
AMA,2015,2,	92,9066
AMA,2015,3,	93,8955
AMA,2015,4,	77,6526
AMA,2015,5,	81,7806
AMA,2015,6,	116,10937
AMA,2015,7,	81,9231
AMA,2015,8,	43,3674
AMA,2015,9,	24,1871
ANC,2015,1,	172,17783
ANC,2015,11,	244,22198
ANC,2015,12,	164,15595
ANC,2015,2,	142,16169
ANC,2015,3,	217,21400
ANC,2015,4,	124,11205
ANC,2015,5,	173,13586
ANC,2015,6,	366,34536
ANC,2015,7,	481,39421
ANC,2015,8,	503,36483
ANC,2015,9,	204,19447
APN,2015,1,	19,2833
APN,2015,11,	4,416
APN,2015,12,	9,1975
APN,2015,2,	14,1653
APN,2015,3,	7,902
APN,2015,4,	5,947
APN,2015,5,	4,425
APN,2015,6,	5,712
APN,2015,7,	6,1099
APN,2015,8,	4,358
APN,2015,9,	3,560
ASE,2015,1,	202,22592
ASE,2015,11,	11,1115
ASE,2015,12,	196,29134
ASE,2015,2,	200,19722
ASE,2015,3,	183,14851
ASE,2015,4,	25,2093
ASE,2015,5,	11,988
ASE,2015,6,	77,8713
ASE,2015,7,	63,6778
ASE,2015,8,	46,5165
ASE,2015,9,	15,1482
ATL,2015,1,	4331,491079
ATL,2015,11,	4060,437961
ATL,2015,12,	5473,846939
ATL,2015,2,	4662,619214
ATL,2015,3,	5181,581375
ATL,2015,4,	4355,491602
ATL,2015,5,	4446,642567
ATL,2015,6,	6031,839789
ATL,2015,7,	5258,658295
ATL,2015,8,	5145,648795
ATL,2015,9,	3134,361832
ATW,2015,1,	54,6064
ATW,2015,11,	33,2808
ATW,2015,12,	47,5402
ATW,2015,2,	66,7353
ATW,2015,3,	33,3737
ATW,2015,4,	21,2669
ATW,2015,5,	38,4541
ATW,2015,6,	45,4310
ATW,2015,7,	56,4668
ATW,2015,8,	51,5041
ATW,2015,9,	32,2253
AUS,2015,1,	760,76702
AUS,2015,11,	1017,158469
AUS,2015,12,	768,89173
AUS,2015,2,	685,72673
AUS,2015,3,	866,82540
AUS,2015,4,	738,74936
AUS,2015,5,	921,108936
AUS,2015,6,	954,109056
AUS,2015,7,	859,93889
AUS,2015,8,	733,86672
AUS,2015,9,	419,39443
AVL,2015,1,	39,4149
AVL,2015,11,	33,4879
AVL,2015,12,	43,8345
AVL,2015,2,	38,5031
AVL,2015,3,	43,5732
AVL,2015,4,	39,3757
AVL,2015,5,	32,4416
AVL,2015,6,	67,8227
AVL,2015,7,	69,7624
AVL,2015,8,	51,5568
AVL,2015,9,	35,2908
AVP,2015,1,	38,3062
AVP,2015,11,	24,4264
AVP,2015,12,	15,1331
AVP,2015,2,	32,2390
AVP,2015,3,	19,1814
AVP,2015,4,	26,1960
AVP,2015,5,	33,3406
AVP,2015,6,	30,3409
AVP,2015,7,	42,5710
AVP,2015,8,	36,3646
AVP,2015,9,	29,3166
AZO,2015,1,	60,7009
AZO,2015,11,	21,2523
AZO,2015,12,	19,2433
AZO,2015,2,	49,5500
AZO,2015,3,	37,3466
AZO,2015,4,	11,804
AZO,2015,5,	15,973
AZO,2015,6,	27,4629
AZO,2015,7,	14,1216
AZO,2015,8,	18,2161
AZO,2015,9,	23,2405
BDL,2015,1,	379,37033
BDL,2015,11,	244,26057
BDL,2015,12,	352,41080
BDL,2015,2,	357,41476
BDL,2015,3,	365,37551
BDL,2015,4,	285,34610
BDL,2015,5,	326,38446
BDL,2015,6,	460,60854
BDL,2015,7,	452,49597
BDL,2015,8,	378,48941
BDL,2015,9,	266,29459
BET,2015,1,	6,728
BET,2015,11,	21,2175
BET,2015,12,	11,560
BET,2015,2,	15,1591
BET,2015,3,	7,736
BET,2015,4,	3,353
BET,2015,5,	9,872
BET,2015,6,	8,1435
BET,2015,7,	14,1447
BET,2015,8,	12,806
BET,2015,9,	7,311
BFL,2015,1,	56,7713
BFL,2015,11,	34,2164
BFL,2015,12,	44,4786
BFL,2015,2,	42,4019
BFL,2015,3,	32,4740
BFL,2015,4,	43,5075
BFL,2015,5,	52,6075
BFL,2015,6,	63,7425
BFL,2015,7,	43,5362
BFL,2015,8,	50,6222
BFL,2015,9,	26,2351
BGM,2015,11,	2,278
BGM,2015,12,	11,1788
BGM,2015,2,	12,1683
BGM,2015,6,	4,317
BGM,2015,7,	6,497
BGM,2015,8,	3,317
BGR,2015,11,	4,324
BGR,2015,12,	6,918
BGR,2015,2,	11,659
BGR,2015,4,	1,26
BGR,2015,5,	10,1086
BGR,2015,6,	11,1896
BGR,2015,7,	2,231
BGR,2015,8,	6,514
BGR,2015,9,	3,260
BHM,2015,1,	271,24642
BHM,2015,11,	154,13527
BHM,2015,12,	224,22935
BHM,2015,2,	234,22354
BHM,2015,3,	247,24691
BHM,2015,4,	187,18509
BHM,2015,5,	205,22367
BHM,2015,6,	283,34903
BHM,2015,7,	254,27055
BHM,2015,8,	201,25099
BHM,2015,9,	127,11738
BIL,2015,1,	47,4382
BIL,2015,11,	29,3472
BIL,2015,12,	56,5745
BIL,2015,2,	45,3888
BIL,2015,3,	35,3926
BIL,2015,4,	29,3064
BIL,2015,5,	41,4752
BIL,2015,6,	45,5090
BIL,2015,7,	62,5221
BIL,2015,8,	34,4099
BIL,2015,9,	24,2213
BIS,2015,1,	98,10399
BIS,2015,11,	36,2963
BIS,2015,12,	52,5118
BIS,2015,2,	100,9145
BIS,2015,3,	56,4873
BIS,2015,4,	43,6054
BIS,2015,5,	36,4327
BIS,2015,6,	77,8143
BIS,2015,7,	65,6375
BIS,2015,8,	56,4425
BIS,2015,9,	33,3681
BJI,2015,1,	6,1015
BJI,2015,11,	5,1621
BJI,2015,12,	5,249
BJI,2015,2,	4,190
BJI,2015,3,	4,254
BJI,2015,4,	2,434
BJI,2015,5,	9,1594
BJI,2015,6,	6,692
BJI,2015,7,	5,608
BJI,2015,8,	8,1379
BJI,2015,9,	4,297
BLI,2015,1,	15,716
BLI,2015,11,	8,693
BLI,2015,12,	10,724
BLI,2015,2,	12,957
BLI,2015,3,	15,1493
BLI,2015,4,	4,569
BLI,2015,5,	7,301
BLI,2015,8,	4,332
BMI,2015,1,	78,8315
BMI,2015,11,	30,3429
BMI,2015,12,	37,4134
BMI,2015,2,	81,8907
BMI,2015,3,	64,7690
BMI,2015,4,	44,6581
BMI,2015,5,	39,5544
BMI,2015,6,	71,7315
BMI,2015,7,	50,4242
BMI,2015,8,	49,5495
BMI,2015,9,	38,4080
BNA,2015,1,	863,88075
BNA,2015,11,	587,59527
BNA,2015,12,	821,94090
BNA,2015,2,	668,70169
BNA,2015,3,	822,84845
BNA,2015,4,	697,66136
BNA,2015,5,	719,86276
BNA,2015,6,	1098,125294
BNA,2015,7,	1065,120850
BNA,2015,8,	736,84446
BNA,2015,9,	450,48300
BOI,2015,1,	239,23895
BOI,2015,11,	206,21026
BOI,2015,12,	304,31832
BOI,2015,2,	215,20589
BOI,2015,3,	138,12909
BOI,2015,4,	168,16862
BOI,2015,5,	165,17958
BOI,2015,6,	261,33690
BOI,2015,7,	279,32108
BOI,2015,8,	236,23226
BOI,2015,9,	154,16398
BOS,2015,1,	1970,192133
BOS,2015,11,	1370,141253
BOS,2015,12,	1826,240447
BOS,2015,2,	2739,329079
BOS,2015,3,	2232,260733
BOS,2015,4,	1895,189471
BOS,2015,5,	1878,225841
BOS,2015,6,	2488,307173
BOS,2015,7,	2356,278055
BOS,2015,8,	2399,290959
BOS,2015,9,	1622,167265
BPT,2015,1,	35,3287
BPT,2015,11,	21,2254
BPT,2015,12,	19,4015
BPT,2015,2,	25,2171
BPT,2015,3,	27,3265
BPT,2015,4,	28,2697
BPT,2015,5,	31,2093
BPT,2015,6,	28,2314
BPT,2015,7,	21,1857
BPT,2015,8,	22,2827
BPT,2015,9,	14,1782
BQK,2015,1,	9,1022
BQK,2015,11,	16,1633
BQK,2015,12,	18,2097
BQK,2015,2,	16,2352
BQK,2015,3,	18,1982
BQK,2015,4,	13,1371
BQK,2015,5,	9,1232
BQK,2015,6,	14,1353
BQK,2015,7,	16,1334
BQK,2015,8,	14,1523
BQK,2015,9,	16,2073
BQN,2015,1,	31,4021
BQN,2015,11,	30,2224
BQN,2015,12,	51,5317
BQN,2015,2,	28,2256
BQN,2015,3,	29,4019
BQN,2015,4,	30,3729
BQN,2015,5,	27,3786
BQN,2015,6,	51,5401
BQN,2015,7,	50,6102
BQN,2015,8,	42,4187
BQN,2015,9,	18,1348
BRD,2015,1,	4,785
BRD,2015,11,	5,289
BRD,2015,12,	1,108
BRD,2015,2,	5,680
BRD,2015,3,	8,768
BRD,2015,4,	2,267
BRD,2015,5,	3,332
BRD,2015,6,	4,281
BRD,2015,7,	3,145
BRD,2015,8,	4,214
BRD,2015,9,	6,3404
BRO,2015,1,	44,4442
BRO,2015,11,	24,1841
BRO,2015,12,	17,1831
BRO,2015,2,	31,2954
BRO,2015,3,	69,6310
BRO,2015,4,	34,4296
BRO,2015,5,	55,5887
BRO,2015,6,	64,8167
BRO,2015,7,	30,3919
BRO,2015,8,	28,3173
BRO,2015,9,	12,1189
BRW,2015,1,	17,2167
BRW,2015,11,	8,1259
BRW,2015,12,	5,851
BRW,2015,2,	15,864
BRW,2015,3,	12,1608
BRW,2015,4,	12,1399
BRW,2015,5,	10,764
BRW,2015,6,	13,1374
BRW,2015,7,	14,1093
BRW,2015,8,	9,503
BRW,2015,9,	9,529
BTM,2015,1,	5,107
BTM,2015,11,	5,468
BTM,2015,12,	14,2013
BTM,2015,3,	1,81
BTM,2015,4,	2,62
BTM,2015,5,	3,101
BTM,2015,6,	3,247
BTM,2015,7,	1,15
BTM,2015,8,	7,665
BTR,2015,1,	138,14688
BTR,2015,11,	100,12121
BTR,2015,12,	115,14739
BTR,2015,2,	142,14744
BTR,2015,3,	162,18527
BTR,2015,4,	159,18084
BTR,2015,5,	183,20467
BTR,2015,6,	189,23360
BTR,2015,7,	150,13654
BTR,2015,8,	125,15420
BTR,2015,9,	70,7617
BTV,2015,1,	58,7598
BTV,2015,11,	34,4558
BTV,2015,12,	79,11750
BTV,2015,2,	53,6715
BTV,2015,3,	60,7921
BTV,2015,4,	72,8482
BTV,2015,5,	50,5698
BTV,2015,6,	83,9894
BTV,2015,7,	75,8796
BTV,2015,8,	51,5591
BTV,2015,9,	61,7523
BUF,2015,1,	297,29949
BUF,2015,11,	179,17104
BUF,2015,12,	285,35085
BUF,2015,2,	344,34935
BUF,2015,3,	329,37440
BUF,2015,4,	285,33469
BUF,2015,5,	254,29568
BUF,2015,6,	406,50189
BUF,2015,7,	420,46971
BUF,2015,8,	333,42332
BUF,2015,9,	208,22275
BUR,2015,1,	271,26611
BUR,2015,11,	247,23546
BUR,2015,12,	354,35080
BUR,2015,2,	292,30347
BUR,2015,3,	250,22647
BUR,2015,4,	255,25858
BUR,2015,5,	294,31415
BUR,2015,6,	336,32676
BUR,2015,7,	317,35587
BUR,2015,8,	270,29419
BUR,2015,9,	159,15094
BWI,2015,1,	1266,120777
BWI,2015,11,	1044,96903
BWI,2015,12,	1453,161817
BWI,2015,2,	1152,119568
BWI,2015,3,	1271,124974
BWI,2015,4,	1059,115373
BWI,2015,5,	1229,142766
BWI,2015,6,	2094,258184
BWI,2015,7,	2063,230868
BWI,2015,8,	1562,193393
BWI,2015,9,	1213,127784
BZN,2015,1,	68,7050
BZN,2015,11,	25,3348
BZN,2015,12,	84,11910
BZN,2015,2,	60,5434
BZN,2015,3,	45,5072
BZN,2015,4,	24,3262
BZN,2015,5,	23,2364
BZN,2015,6,	61,7434
BZN,2015,7,	74,6912
BZN,2015,8,	91,8924
BZN,2015,9,	30,3815
CAE,2015,1,	113,12771
CAE,2015,11,	90,10880
